BSE SYMBOL,ISIN No,Type
CAPRICORN,INE968E01012,Equity
VAMA,INE685D01022,Equity
BENTCOM,INE496M01017,Equity
SILVERO,INE798C01017,Equity
CLASELE,INE02BR01017,Equity
PRISMMEDI,INE730E01016,Equity
SPVGLOBAL,INE177E01010,Equity
VERITAS,INE379J01029,Equity
ZNIVITRD,INE552F01011,Equity
ASHCAP,INE894A01026,Equity
SVARTCORP,INE895A01023,Equity
BAJGLOB,INE553H01015,Equity
AVONMERC,INE471D01019,Equity
TASHIND,INE552H01017,Equity
AUTOINT,INE340U01010,Equity
ZSPEEDCO,INE497M01015,Equity
CHMBBRW,INE417N01011,Equity
ZMANSOON,INE776V01013,Equity
TYPHOON,INE2L3M01012,Equity
ARAVALIS,INE068C01015,Equity
LEXGLOBAL,INE745A01012,Equity
CUPIDALBV,INE108G01010,Equity
ZSHERAPR,INE495M01019,Equity
MAGANTR,INE664N01018,Equity
CRSL,INE716D01033,Equity
SERA,INE017I01027,Equity
BENGALS,INE523W01017,Equity
UNIWSEC,INE728J01019,Equity
MERCTRD,INE319T01016,Equity
NIRAVCOM,INE242B01018,Equity
WHITHAL,INE416X01012,Equity
ASUTENT,INE508W01018,Equity
APOLLOFI,INE412D01013,Equity
ESQRMON,INE0HMN01013,Equity
ENBETRD,INE993I01029,Equity
GANONPRO,INE162L01017,Equity
DEVITRD,INE07LH01016,Equity
SHRJAGP,INE564J01026,Equity
PUNCTRD,INE07NX01019,Equity
BETXIND,INE765L01017,Equity
VIRYA,INE661K01010,Equity
DHANCOT,INE977F01010,Equity
OASISEC,INE876A01023,Equity
GARNETINT,INE590B01010,Equity
SHALPRO,INE435E01020,Equity
MEENST,INE721V01019,Equity
VARUNME,INE442U01014,Equity
VINVANI,INE132V01019,Equity
SUPER,INE091C01017,Equity
NEELKANTH,INE581D01015,Equity
ZODJRDMKJ,INE077B01018,Equity
SITAENT,INE579D01019,Equity
PULSRIN,INE183U01022,Equity
MANBRO,INE348N01042,Equity
ASTALLTD,INE307N01014,Equity
HARIAEXPO,INE772B01014,Equity
RLF,INE629C01014,Equity
REGENTRP,INE769D01016,Equity
SAVERA,INE104E01014,Equity
CHROME,INE114E01013,Equity
ZJEETMAC,INE987E01012,Equity
ZHINUDYP,INE582K01018,Equity
REMIEDEL,INE158G01015,Equity
GSAUTO,INE736H01024,Equity
TRANSFRE,INE360D01014,Equity
AMFORG,INE991A01020,Equity
ONIXSOLAR,INE173M01012,Equity
ACROW,INE950D01012,Equity
STLSTRINF,INE205F01016,Equity
JAYUSH,INE289D01015,Equity
IMEC,INE611C01020,Equity
MDRNSTL,INE001F01019,Equity
BELDING,INE363L01045,Equity
GUJTLRM,INE145J01032,Equity
COCHINM,INE105D01013,Equity
